S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,Mar Cap 3yrs back Cr.
1.,Life Insurance,905.70,11.75,572855.04,1.32,10955.21,3.91,224671.49,6.00,53.13,
2.,Hyundai Motor I,2395.10,34.67,194611.72,0.88,1570.25,17.38,17061.03,1.10,54.25,
3.,Jio Financial,301.90,119.25,191805.65,0.17,695.04,0.87,981.39,41.51,1.47,
4.,Tata Capital,329.30,37.99,139783.54,0.00,1118.97,2.01,7737.18,7.69,9.58,
5.,Siemens Ener.Ind,3245.40,219.88,115575.35,0.00,262.70,80.18,1784.60,20.24,,
6.,LG Electronics,1633.40,50.37,110870.68,0.00,,,,,56.83,
7.,Swiggy,413.35,,103074.89,0.00,-1092.00,-75.28,5561.00,54.43,-29.22,
8.,Mankind Pharma,2369.50,51.73,97803.12,0.04,444.62,-17.60,3570.35,24.50,15.98,
9.,Waaree Energies,3369.60,35.87,96923.48,0.06,878.21,132.97,6065.64,69.70,34.94,
10.,Bharti Hexacom,1873.00,58.35,93650.00,0.53,421.20,66.42,2317.30,10.47,17.44,
11.,Bajaj Housing,109.54,40.32,91272.39,0.00,583.30,20.86,2615.71,18.43,9.55,
12.,NTPC Green Ene.,100.74,139.87,84886.85,0.00,86.38,130.26,612.29,21.52,4.89,
13.,Lenskart Solut.,,282.64,69741.25,,,,,,5.57,
14.,Vishal Mega Mart,143.49,97.44,67025.15,0.00,206.07,37.24,3140.32,20.95,13.10,
15.,Billionbrains,,34.86,61735.97,,,,,,60.76,
16.,JSW Infrast,289.70,38.38,60837.05,0.28,368.81,-2.76,1265.59,26.39,13.92,
17.,HDB FINANC SER,731.55,28.20,60686.95,0.27,581.40,-1.62,4545.40,13.44,9.79,
18.,Knowledge Realty,117.60,163.99,52148.54,0.00,-0.91,,0.00,,13.17,
19.,Premier Energies,1041.80,39.52,47192.95,0.10,353.44,71.61,1836.87,20.28,41.12,
20.,Altius Telecom,150.00,55.48,45711.00,2.48,226.70,-6.63,6030.00,73.33,8.24,
21.,ITC Hotels,214.90,60.67,44757.83,0.00,133.29,74.31,839.48,7.91,9.63,
22.,Kaynes Tech,6658.50,117.87,44635.02,0.00,121.41,101.64,906.22,58.40,14.28,
23.,Indian Renewable,151.01,24.62,42422.20,0.00,549.00,41.59,2056.88,26.22,9.37,
24.,Anthem Bioscienc,702.25,78.11,39439.07,0.00,135.79,64.83,540.21,59.55,28.50,
25.,Delhivery,484.85,182.34,36250.00,0.00,91.05,53.05,2294.00,5.60,2.47,
26.,Global Health,1249.30,58.88,33579.98,0.04,158.98,49.60,1030.84,19.71,19.74,
27.,Go Digit General,360.25,65.47,33263.62,0.00,135.60,51.56,2488.04,11.35,10.80,
28.,Aegis Vopak Term,274.30,203.69,30392.21,0.00,47.72,85.10,164.01,6.48,7.01,
29.,Inventurus Knowl,1666.60,46.92,28609.38,0.00,180.72,59.93,781.09,21.52,27.20,
30.,Tata Technolog.,686.80,40.19,27864.29,1.22,165.50,5.14,1323.33,2.07,25.80,
31.,Piramal Pharma,200.42,308.66,26640.79,0.07,-81.70,-5.44,1933.71,-0.89,6.45,
32.,Nuvama Wealth,7148.00,25.09,25817.73,2.02,263.87,19.43,1122.65,18.24,20.40,
33.,Ather Energy,667.15,,25394.26,0.00,-178.20,2.57,644.60,78.81,-65.71,
34.,Pine Labs,,,25376.65,,,,,,-1.85,
35.,Emcure Pharma,1324.70,33.35,25111.66,0.23,214.79,45.28,2100.54,15.72,20.72,
36.,Nexus Select,163.33,51.03,24744.50,1.37,132.32,20.03,630.89,13.19,5.17,
37.,Sagility,51.56,30.21,24136.93,0.10,250.83,113.76,1658.50,25.17,9.58,
38.,Ola Electric,50.06,,22080.61,0.00,-428.00,-32.10,828.00,-49.64,-28.09,
39.,N S D L,1103.95,64.98,22079.00,0.18,89.63,15.16,312.03,-7.49,23.57,
40.,Aadhar Hsg. Fin.,509.20,23.24,22053.08,0.00,237.28,18.56,848.18,18.94,11.42,
41.,Jyoti CNC Auto.,940.20,63.54,21382.32,0.00,71.42,40.26,410.17,13.36,24.35,
42.,Urban Company,148.90,,21380.58,0.00,-52.39,-586.90,747.30,33.90,2.37,
43.,OneSource Speci.,1833.50,234.93,20998.20,0.00,-0.19,267.76,327.27,11.97,5.52,
44.,Netweb Technol.,3630.30,152.53,20567.05,0.07,31.43,20.05,303.72,20.98,32.45,
45.,Sai Life,923.10,79.39,19377.88,0.00,60.46,547.85,496.42,77.47,14.05,
46.,Five-Star Bus.Fi,649.20,17.29,19117.28,0.31,286.14,6.79,799.44,13.87,16.34,
47.,Allied Blenders,672.05,73.15,18797.92,0.54,62.92,35.22,990.06,14.11,21.08,
48.,KFin Technolog.,1069.40,53.28,18425.42,0.70,93.31,4.47,309.23,10.25,32.75,
49.,JSW Cement,134.98,,18402.70,0.00,-1366.41,331.06,1559.82,7.78,4.64,
50.,Bikaji Foods,730.65,90.48,18309.56,0.14,58.53,2.81,652.67,14.18,18.16,
51.,Brainbees Solut.,348.90,,18210.72,0.00,-66.51,12.68,1862.56,12.74,-0.40,
52.,Cube Highways,135.00,585.51,18144.94,4.52,40.22,234.52,1051.62,28.30,3.91,
53.,Travel Food,1316.30,43.46,17332.97,0.00,94.96,65.59,375.05,-8.49,41.69,
54.,TBO Tek,1589.00,77.60,17254.60,0.00,67.55,12.41,567.51,25.92,26.68,
55.,Ventive Hospital,737.90,140.49,17233.04,0.00,37.92,1.93,507.45,341.68,11.73,
56.,A B Lifestyle,137.13,153.99,16736.77,0.00,23.44,-40.75,2037.90,3.71,,
57.,ACME Solar Hold.,273.80,32.74,16567.30,0.07,115.06,631.63,467.75,80.19,8.42,
58.,Afcons Infrastr.,444.95,30.72,16364.58,0.56,137.40,50.02,3370.38,6.85,19.59,
59.,Vertis Infra.,108.00,33.00,16307.83,0.00,129.72,32.23,841.54,60.68,9.51,
60.,Dr Agarwal's Hea,515.10,140.34,16285.96,0.00,36.49,79.07,498.69,19.71,9.99,
61.,R R Kabel,1421.80,39.83,16078.81,0.42,116.26,134.73,2163.77,19.54,19.77,
62.,Aditya Infotech,1322.10,96.37,15497.91,0.00,32.88,46.07,740.04,16.35,19.49,
63.,RRPSemiconductor,11326.85,2374.11,15431.70,0.00,-0.29,-117.26,0.00,-100.00,80.21,
64.,Doms Industries,2533.40,73.99,15374.59,0.12,59.10,10.49,562.28,26.35,26.18,
65.,Concord Biotech,1454.90,42.74,15220.61,0.74,44.06,-26.06,203.99,-5.47,28.25,
66.,SignatureGlobal,1077.80,117.63,15144.24,0.00,34.44,408.42,865.67,116.09,5.42,
67.,Syrma SGS Tech.,784.20,74.77,15093.04,0.19,49.92,157.72,943.98,-18.62,11.67,
68.,Leela Palaces Hotels,440.25,84.53,14702.50,0.00,74.73,246.02,310.65,12.09,11.98,
69.,International Ge,335.15,29.52,14483.83,0.75,126.53,62.55,300.91,15.74,68.01,
70.,Rainbow Child.,1390.50,54.86,14121.80,0.22,53.81,35.34,352.93,6.88,18.69,
71.,Niva Bupa Health,76.40,152.29,14103.43,0.00,-35.27,-370.89,1574.03,19.13,7.45,
72.,Cello World,636.90,42.73,14068.17,0.24,80.65,-11.58,529.01,5.66,23.72,
73.,Paradeep Phosph.,168.11,17.11,13723.59,0.59,255.85,4655.58,3754.06,57.90,13.72,
74.,NMDC Steel,44.97,,13178.93,0.00,-114.78,80.72,3389.90,122.68,-12.97,
75.,Jain Resource,377.25,51.38,13018.36,0.00,98.64,80.53,2054.91,52.96,27.20,
76.,Indegene,539.05,29.04,12944.73,0.37,102.10,11.34,804.20,17.09,24.80,
77.,Belrise Industri,145.27,32.68,12927.28,0.38,111.68,56.06,2262.21,27.02,14.30,
78.,SBFC Finance,117.52,32.73,12847.26,0.00,109.14,29.96,410.78,30.87,11.55,
79.,Blackbuck,653.85,32.68,11833.50,0.00,33.70,395.59,143.65,55.84,10.54,
80.,Vikram Solar,322.00,44.63,11647.29,0.00,128.49,1645.79,1109.91,93.72,26.45,
81.,Le Travenues,260.95,236.66,11395.00,0.00,-3.47,-125.44,282.74,36.94,12.62,
82.,Canara HSBC,118.46,93.24,11253.70,0.00,40.81,10.69,2347.94,-29.35,8.73,
83.,Sanofi Consumer,4884.40,56.85,11249.08,1.13,60.70,22.99,220.90,28.21,111.44,
84.,Inox India,1214.10,48.10,11019.60,0.16,61.12,16.11,339.62,14.58,37.98,
85.,Bluestone Jewel,711.95,,10773.25,0.00,-34.75,41.71,492.68,41.48,,
86.,Rubicon Research,652.65,80.03,10752.43,0.00,,,,,28.57,
87.,Azad Engineering,1656.40,94.41,10697.32,0.00,33.00,56.62,142.67,28.06,12.23,
88.,Prudent Corp.,2562.80,51.70,10611.70,0.10,53.54,3.92,319.79,11.78,44.06,
89.,Blue Jet Health,606.65,29.86,10523.28,0.20,52.14,-10.64,165.48,-20.54,39.75,
90.,Jupiter Life Lin,1553.90,52.90,10188.30,0.06,43.88,-1.42,347.63,20.46,17.95,
