iter	MultiClass
0	1.036055274
1	0.9820361885
2	0.9350119306
3	0.8949691859
4	0.8647168931
5	0.8338582509
6	0.8067089387
7	0.7836753521
8	0.7598192914
9	0.7384490533
10	0.7159418757
11	0.6966024201
12	0.6798136822
13	0.6645123776
14	0.6499254664
15	0.633239227
16	0.6184881425
17	0.6080450017
18	0.6000003722
19	0.5871758305
20	0.5758225221
21	0.5668477587
22	0.5592142603
23	0.5502909911
24	0.5396153798
25	0.5278268961
26	0.5192707383
27	0.5079700868
28	0.5006433891
29	0.4927713255
30	0.4866485296
31	0.4795528227
32	0.4709397105
33	0.4638764627
34	0.4583691998
35	0.4524404529
36	0.4472446582
37	0.4401407068
38	0.4347853184
39	0.4310101654
40	0.4252919555
41	0.4199106032
42	0.4158864177
43	0.4125321112
44	0.4057537765
45	0.4011337262
46	0.3963718608
47	0.3932314659
48	0.3891545667
49	0.3847740338
50	0.3771475293
51	0.3725597316
52	0.3683170275
53	0.3622570379
54	0.3577631307
55	0.3551389606
56	0.3520247952
57	0.3478278363
58	0.3449316972
59	0.3423039619
60	0.3376469798
61	0.3345440701
62	0.3303494739
63	0.3280362605
64	0.3239518602
65	0.3217063253
66	0.3178545141
67	0.3163971504
68	0.314403425
69	0.3109520669
70	0.3092474059
71	0.3067397803
72	0.305108349
73	0.3027351175
74	0.3004641286
75	0.2979141264
76	0.2943611142
77	0.2916690537
78	0.2879680671
79	0.2859848877
80	0.2844824042
81	0.2825389255
82	0.279859196
83	0.2784511968
84	0.2757234078
85	0.2708323725
86	0.2677045198
87	0.2653769873
88	0.2629062146
89	0.2603650015
90	0.2589311595
91	0.2553908236
92	0.2539658238
93	0.2529742256
94	0.2498938146
95	0.2478095947
96	0.2447839451
97	0.2442188509
98	0.2427921091
99	0.2413640807
100	0.2395764188
101	0.2371813283
102	0.234902103
103	0.2335949228
104	0.2316830547
105	0.2304312243
106	0.2290583182
107	0.2272391944
108	0.2248722643
109	0.2225613792
110	0.2207345462
111	0.218503565
112	0.2176103503
113	0.2163146074
114	0.2150300818
115	0.2115818441
116	0.2096363269
117	0.2069756937
118	0.2053577829
119	0.2026139336
120	0.2015860876
121	0.1997582004
122	0.1987668294
123	0.1969807359
124	0.1952750079
125	0.1938838939
126	0.1918860603
127	0.1910800571
128	0.1898234324
129	0.1884329138
130	0.1878101646
131	0.1859204757
132	0.1836142035
133	0.1827445182
134	0.1809194766
135	0.1796802658
136	0.1787712081
137	0.1776107103
138	0.1762547652
139	0.1749039973
140	0.1736720092
141	0.1725353747
142	0.1719188986
143	0.1699701532
144	0.1689936608
145	0.1678786967
146	0.1658241982
147	0.1645253248
148	0.1639263372
149	0.1620492492
150	0.1609288879
151	0.159458582
152	0.1578995994
153	0.1566497125
154	0.1555640926
155	0.1539919645
156	0.1536199458
157	0.1526794147
158	0.1519243106
159	0.1513428579
160	0.1504446635
161	0.1493402857
162	0.1484455593
163	0.1471384088
164	0.1464205836
165	0.1454346415
166	0.1439507117
167	0.1431187257
168	0.1425456388
169	0.1412889204
170	0.1404764568
171	0.1395809208
172	0.1387348291
173	0.1380598138
174	0.1369193028
175	0.1361251551
176	0.1351011753
177	0.1340585341
178	0.1333902715
179	0.132431518
180	0.1313488122
181	0.1305090389
182	0.1297079753
183	0.129016513
184	0.1287122821
185	0.1279485563
186	0.1274598791
187	0.1271324581
188	0.1260484789
189	0.125114805
190	0.1241206765
191	0.1232674968
192	0.1225514537
193	0.1218412733
194	0.121227618
195	0.120091086
196	0.1197306833
197	0.1192168622
198	0.118463304
199	0.117743148
