iter	Passed	Remaining
0	7	1473
1	13	1300
2	18	1216
3	24	1196
4	29	1148
5	34	1110
6	39	1087
7	43	1053
8	48	1029
9	53	1014
10	57	993
11	62	983
12	66	961
13	70	940
14	74	920
15	78	905
16	82	888
17	86	876
18	90	861
19	94	850
20	98	837
21	102	826
22	105	814
23	111	816
24	114	804
25	118	795
26	122	786
27	127	784
28	131	774
29	135	766
30	139	757
31	143	751
32	146	743
33	150	736
34	154	729
35	159	724
36	163	719
37	167	714
38	171	708
39	175	702
40	179	696
41	183	689
42	187	683
43	191	677
44	194	671
45	198	665
46	202	659
47	206	654
48	210	648
49	214	642
50	218	637
51	221	631
52	225	625
53	229	621
54	233	615
55	237	610
56	241	604
57	244	599
58	248	594
59	252	588
60	256	584
61	260	580
62	265	576
63	268	571
64	272	566
65	276	560
66	280	556
67	284	551
68	288	546
69	291	541
70	295	537
71	299	532
72	305	531
73	308	526
74	312	521
75	316	516
76	321	513
77	325	509
78	329	504
79	333	499
80	337	495
81	342	492
82	346	487
83	349	483
84	353	478
85	357	474
86	361	469
87	365	464
88	369	460
89	373	456
90	376	451
91	380	447
92	384	442
93	388	438
94	392	433
95	396	429
96	400	424
97	403	420
98	407	415
99	411	411
100	415	407
101	419	402
102	423	398
103	426	394
104	430	389
105	434	385
106	439	381
107	442	377
108	446	373
109	451	369
110	454	364
111	458	360
112	462	356
113	466	352
114	471	348
115	474	343
116	478	339
117	483	336
118	487	332
119	491	327
120	495	323
121	500	320
122	504	315
123	508	311
124	512	307
125	516	303
126	520	299
127	524	295
128	528	290
129	532	286
130	536	282
131	540	278
132	543	274
133	548	270
134	552	266
135	556	261
136	561	258
137	565	253
138	569	249
139	573	245
140	578	242
141	582	237
142	586	233
143	590	229
144	596	226
145	600	221
146	603	217
147	607	213
148	613	209
149	617	205
150	621	201
151	626	197
152	631	193
153	634	189
154	638	185
155	644	181
156	648	177
157	651	173
158	655	169
159	661	165
160	665	161
161	669	157
162	675	153
163	679	149
164	683	144
165	687	140
166	693	136
167	697	132
168	700	128
169	705	124
170	709	120
171	713	116
172	717	112
173	722	108
174	727	103
175	731	99
176	735	95
177	741	91
178	745	87
179	749	83
180	752	79
181	757	74
182	761	70
183	765	66
184	770	62
185	774	58
186	778	54
187	782	49
188	788	45
189	792	41
190	796	37
191	800	33
192	805	29
193	810	25
194	814	20
195	819	16
196	822	12
197	827	8
198	831	4
199	836	0
