iter	MultiClass
0	1.064701007
1	1.040764364
2	1.015236977
3	0.9918386013
4	0.9667170395
5	0.9445138565
6	0.9286156517
7	0.9127101023
8	0.8946740809
9	0.8770267868
10	0.861602757
11	0.8464784257
12	0.8320342845
13	0.8210117346
14	0.8091096183
15	0.7997106066
16	0.7860599168
17	0.7751742552
18	0.7641893711
19	0.7542076273
20	0.7454294235
21	0.7370004087
22	0.7292896748
23	0.7213308899
24	0.7141159677
25	0.7039805441
26	0.6963492861
27	0.6884136727
28	0.6832615915
29	0.67328243
30	0.6667063785
31	0.6590762845
32	0.6532663291
33	0.6469273976
34	0.6403237611
35	0.6353122362
36	0.6304392054
37	0.6242121009
38	0.6162213687
39	0.6133186112
40	0.6053791714
41	0.5996123641
42	0.5946727904
43	0.5904362311
44	0.584290247
45	0.5800660358
46	0.5755487248
47	0.5714302711
48	0.5684921897
49	0.5646386652
50	0.5610811899
51	0.5578452706
52	0.5552084867
53	0.5527099673
54	0.5497178732
55	0.5461595558
56	0.5429350197
57	0.5387744375
58	0.5356776538
59	0.533473101
60	0.5293386478
61	0.5256066985
62	0.5227159207
63	0.5198608375
64	0.5180996307
65	0.514281939
66	0.5126840704
67	0.5091021499
68	0.5067751801
69	0.5044815124
70	0.5023954836
71	0.4996742354
72	0.497455853
73	0.495129145
74	0.4922744341
75	0.4870203427
76	0.4842674024
77	0.4814950673
78	0.4790374012
79	0.4770060536
80	0.4737843867
81	0.4709955551
82	0.4685916571
83	0.4641571496
84	0.4619330456
85	0.4588594334
86	0.4556032908
87	0.4532108169
88	0.4495548341
89	0.4474388133
90	0.4444272034
91	0.4417284348
92	0.4405757094
93	0.437271483
94	0.4355052249
95	0.4338136058
96	0.432274292
97	0.4310456059
98	0.4288770085
99	0.4259703699
100	0.4243233562
101	0.4228194036
102	0.4200835199
103	0.418100234
104	0.4168134434
105	0.4148936598
106	0.4123981018
107	0.4104040094
108	0.4072691198
109	0.4054144837
110	0.4025014848
111	0.4005579505
112	0.399474475
113	0.3976320644
114	0.3961055734
115	0.3948056232
116	0.3938943594
117	0.3922643293
118	0.389666214
119	0.388364595
120	0.3859843153
121	0.3842279104
122	0.3822958208
123	0.3808283609
124	0.3793291132
125	0.3772567052
126	0.3762938901
127	0.3737241357
128	0.3713613795
129	0.3694636919
130	0.3670647396
131	0.3651294164
132	0.3628055411
133	0.3619681903
134	0.3603932617
135	0.358316309
136	0.3568214494
137	0.3549121369
138	0.3532150494
139	0.3519472601
140	0.3500309486
141	0.3485004675
142	0.3466575232
143	0.34550744
144	0.3429964152
145	0.3408408644
146	0.3393820246
147	0.3383447896
148	0.3372242288
149	0.3364083619
150	0.3354814859
151	0.3335809757
152	0.3318601023
153	0.3306802234
154	0.3283823035
155	0.3277054995
156	0.3267240748
157	0.3253592726
158	0.3232714251
159	0.3209995844
160	0.3201991761
161	0.3188880734
162	0.3183852365
163	0.3167445131
164	0.315585934
165	0.3137370314
166	0.3122004028
167	0.3108311577
168	0.30909421
169	0.3077250063
170	0.3063638816
171	0.3049318376
172	0.3025813434
173	0.3015832351
174	0.3000245915
175	0.2982043375
176	0.296407602
177	0.2950483236
178	0.2940125115
179	0.292399722
180	0.2911952634
181	0.2893631991
182	0.28791346
183	0.28626649
184	0.2849647575
185	0.2836715407
186	0.2819848684
187	0.2805232869
188	0.2796676851
189	0.2787307121
190	0.2774444962
191	0.2759147094
192	0.2752136234
193	0.2739780884
194	0.2732404739
195	0.2722058524
196	0.2714075202
197	0.2698933907
198	0.2687767663
199	0.2677009614
200	0.2668954812
201	0.2655594696
202	0.2645705936
203	0.262974144
204	0.2618683827
205	0.2605731251
206	0.2602606486
207	0.2590788363
208	0.2582341956
209	0.2572066659
210	0.2558775961
211	0.2547911808
212	0.2538670673
213	0.2525831315
214	0.2511805292
215	0.2502979222
216	0.2493655398
217	0.248309931
218	0.2476661659
219	0.2462021352
220	0.245303444
221	0.2444117611
222	0.2435075524
223	0.2428176344
224	0.2420812671
225	0.2413190174
226	0.24043218
227	0.239610842
228	0.2389124598
229	0.2381272317
230	0.2377274413
231	0.2370533266
232	0.2361126429
233	0.2347730303
234	0.2336172222
235	0.232638175
236	0.2320166815
237	0.2309673364
238	0.23040541
239	0.229634934
240	0.2288786608
241	0.2280732598
242	0.2273484887
243	0.2266612892
244	0.2260099447
245	0.2252334804
246	0.2242710317
247	0.222828043
248	0.2223460489
249	0.2216041238
250	0.2208868322
251	0.2201350839
252	0.2194982913
253	0.2187418307
254	0.2177446678
255	0.2171577426
256	0.2160664934
257	0.2150625997
258	0.2142808436
259	0.2135359456
260	0.2128450087
261	0.2116041958
262	0.2113028441
263	0.2108049506
264	0.2100720146
265	0.2094077666
266	0.2088138235
267	0.208513049
268	0.2079476834
269	0.2075324981
270	0.2071092765
271	0.2061190716
272	0.2053521652
273	0.2046125582
274	0.2040920007
275	0.203687355
276	0.2029622592
277	0.2023153133
278	0.2015659467
279	0.2012496307
280	0.2007887429
281	0.200017015
282	0.1995619587
283	0.1989375361
284	0.1980688181
285	0.197780419
286	0.1973859984
287	0.1971359001
288	0.1964188498
289	0.1959183086
290	0.1951860327
291	0.1947721755
292	0.1942397788
293	0.1936209704
294	0.1931344898
295	0.1923297099
296	0.1919516123
297	0.1911504494
298	0.190544482
299	0.1900573257
