iter	Passed	Remaining
0	8	1632
1	15	1519
2	21	1395
3	27	1323
4	32	1263
5	37	1219
6	42	1166
7	47	1133
8	51	1093
9	55	1061
10	59	1028
11	64	1007
12	68	982
13	72	966
14	76	946
15	81	935
16	86	934
17	91	929
18	97	924
19	102	918
20	107	912
21	111	901
22	117	900
23	121	891
24	125	881
25	130	875
26	136	871
27	141	867
28	146	863
29	152	863
30	156	851
31	160	842
32	164	833
33	169	827
34	173	819
35	178	811
36	182	803
37	186	795
38	190	787
39	194	779
40	198	771
41	203	764
42	207	757
43	211	751
44	216	744
45	222	743
46	227	740
47	231	734
48	235	726
49	239	719
50	243	711
51	247	703
52	251	696
53	254	689
54	258	681
55	262	675
56	266	668
57	270	662
58	274	656
59	278	649
60	282	643
61	286	637
62	290	630
63	293	624
64	297	618
65	301	612
66	305	606
67	309	600
68	313	594
69	317	588
70	321	583
71	324	577
72	328	572
73	332	566
74	337	562
75	341	556
76	345	551
77	349	546
78	353	540
79	356	535
80	360	529
81	364	524
82	368	519
83	372	514
84	376	508
85	380	503
86	383	498
87	387	493
88	391	488
89	395	483
90	399	478
91	403	473
92	407	468
93	410	463
94	414	458
95	418	453
96	422	448
97	426	444
98	430	439
99	434	434
100	438	429
101	442	425
102	446	420
103	450	415
104	454	410
105	457	405
106	461	401
107	465	396
108	469	392
109	474	388
110	479	384
111	482	379
112	486	374
113	490	370
114	494	365
115	498	360
116	502	356
117	505	351
118	509	347
119	513	342
120	517	337
121	521	333
122	525	328
123	529	324
124	532	319
125	536	315
126	540	310
127	544	306
128	548	301
129	552	297
130	556	292
131	559	288
132	563	283
133	567	279
134	571	275
135	575	270
136	578	266
137	582	261
138	586	257
139	590	253
140	594	248
141	598	244
142	602	239
143	605	235
144	609	231
145	613	226
146	617	222
147	621	218
148	625	214
149	629	209
150	632	205
151	637	201
152	640	196
153	644	192
154	648	188
155	652	184
156	656	179
157	660	175
158	664	171
159	668	167
160	672	162
161	675	158
162	679	154
163	683	150
164	687	145
165	691	141
166	695	137
167	699	133
168	703	129
169	707	124
170	710	120
171	714	116
172	718	112
173	721	107
174	725	103
175	730	99
176	734	95
177	737	91
178	741	87
179	745	82
180	749	78
181	753	74
182	756	70
183	760	66
184	764	62
185	768	57
186	773	53
187	777	49
188	781	45
189	785	41
190	789	37
191	793	33
192	797	28
193	801	24
194	805	20
195	809	16
196	813	12
197	817	8
198	821	4
199	825	0
